stimidx resp_1 resp_2 resp_3 resp_4 resp_5 resp_6 resp_7 resp_8 resp_9 resp_10
1 0 0 1 1 0 1 0 0 1 0
1 0 0 1 0 0 0 1 0 0 0
1 1 0 0 1 1 1 0 0 0 0
1 0 0 0 1 0 0 0 1 1 0
1 0 0 0 0 0 0 0 1 1 0
1 1 1 0 0 0 0 1 0 0 0
1 0 0 0 0 0 0 1 0 0 1
1 1 0 1 0 0 0 0 1 1 1
1 0 1 0 0 0 1 0 0 0 1
1 1 0 0 0 0 0 0 0 1 1
1 1 0 1 1 0 0 0 1 1 0
1 0 0 0 0 0 1 0 0 0 0
1 1 0 0 0 1 0 0 0 0 1
1 1 0 0 0 0 0 1 1 1 1
1 0 0 0 0 0 0 0 0 0 0
1 0 0 1 0 0 0 0 0 0 1
1 0 1 0 1 0 0 0 1 0 1
1 1 1 0 0 0 0 0 1 1 0
1 1 0 0 1 1 0 1 0 1 0
1 0 0 1 0 0 1 0 0 1 0
1 0 0 0 0 1 1 0 1 1 1
1 0 1 0 1 0 0 0 1 0 1
1 0 0 0 0 0 0 0 0 1 1
1 0 0 1 0 0 1 0 0 0 1
1 1 0 1 0 0 0 1 0 0 0
1 0 0 0 0 0 0 0 0 0 0
1 0 0 1 0 0 0 1 0 0 1
1 0 0 0 0 0 0 0 1 1 0
1 0 0 1 1 0 0 0 1 1 0
1 0 0 0 0 0 0 0 1 0 1
1 1 1 0 0 1 1 0 0 1 0
1 1 0 0 1 0 0 0 0 0 0
1 0 0 1 0 0 1 1 0 1 0
1 0 0 0 0 0 0 0 0 1 1
1 0 1 0 0 0 0 0 0 0 0
1 1 0 0 0 0 0 0 1 1 1
1 0 1 0 1 0 0 1 1 1 0
1 1 0 0 1 0 0 0 0 0 0
1 0 0 1 0 0 1 0 0 0 0
1 0 1 0 1 0 0 1 0 1 0
1 0 0 0 0 0 0 0 0 1 0
1 1 1 0 0 1 1 0 0 1 1
1 0 0 1 1 0 0 1 1 0 0
1 1 1 1 0 0 0 0 0 0 0
1 0 1 0 1 0 1 0 1 0 0
1 0 0 0 0 0 0 1 0 1 0
1 0 1 0 1 0 0 0 0 1 0
1 0 0 1 0 0 0 1 0 1 0
1 1 1 0 0 0 0 1 0 0 0
1 0 0 0 0 0 0 0 0 1 0
2 0 1 0 1 0 0 0 1 0 0
2 0 0 1 1 0 1 1 1 1 0
2 1 1 0 0 1 1 0 1 1 0
2 1 1 1 1 0 1 1 1 1 0
2 0 1 1 0 1 1 1 0 0 0
2 1 1 1 1 0 1 0 1 0 0
2 1 1 0 1 0 0 0 0 0 0
2 0 1 1 1 1 1 1 1 0 0
2 1 1 1 0 1 1 1 1 0 1
2 1 0 1 1 0 1 1 1 1 0
2 1 1 0 0 1 1 1 1 1 1
2 0 1 0 0 1 1 1 1 1 1
2 1 1 1 1 1 0 1 1 0 0
2 1 1 1 0 0 1 1 1 0 1
2 0 1 1 1 1 0 0 1 1 1
2 0 1 1 0 1 1 0 1 1 1
2 0 1 1 1 0 0 1 1 0 1
2 0 1 1 1 1 1 1 1 1 1
2 1 1 1 0 0 1 1 1 1 1
2 1 1 0 1 0 0 0 1 0 1
2 0 1 1 1 0 0 1 1 0 0
2 0 1 1 1 1 1 1 1 0 1
2 1 0 1 1 0 1 0 1 1 1
2 1 1 1 1 1 1 0 1 0 1
2 1 1 1 0 0 1 1 1 1 0
2 0 1 1 1 0 1 1 1 1 0
2 0 1 1 1 0 1 1 1 0 1
2 1 1 1 0 0 1 1 1 1 0
2 1 0 0 1 1 0 0 1 0 1
2 1 1 1 0 0 1 0 0 1 0
2 1 0 1 1 0 1 0 1 1 0
2 1 0 1 0 1 0 0 1 0 1
2 1 1 1 1 1 1 1 0 0 1
2 1 1 1 0 0 1 0 0 1 1
2 0 1 1 1 1 1 0 1 1 1
2 1 1 1 0 1 1 1 0 1 1
2 1 1 0 0 0 1 1 1 0 0
2 0 1 0 0 1 0 1 1 1 1
2 0 1 1 1 0 1 0 1 0 1
2 1 1 0 0 0 1 1 1 1 0
2 0 1 1 1 1 1 1 1 1 0
2 0 1 0 0 1 1 1 1 1 1
2 1 1 1 1 1 1 0 1 0 1
2 0 1 0 1 1 1 1 1 1 1
2 1 0 1 1 1 1 1 1 1 1
2 1 1 0 1 1 1 1 1 1 0
2 1 1 1 1 1 1 1 1 1 1
2 1 0 1 1 1 1 1 1 0 0
2 0 0 1 1 0 1 1 1 1 0
2 0 0 1 1 1 1 1 0 1 1
