subject stimLvl resp
1 -6 0
1 -4 0
1 -2 0
1 0 0
1 2 1
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 1
1 2 1
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 0
1 2 1
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 0
1 2 1
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 0
1 2 1
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 1
1 2 1
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 1
1 2 1
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 1
1 2 1
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 1
1 2 0
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 0
1 2 1
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 1
1 2 0
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 1
1 2 0
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 1
1 0 1
1 2 1
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 1
1 2 1
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 0
1 2 1
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 1
1 2 1
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 1
1 2 1
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 1
1 2 1
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 0
1 2 1
1 4 1
1 6 1
1 -6 0
1 -4 0
1 -2 0
1 0 0
1 2 1
1 4 1
1 6 1
2 -6 0
2 -4 0
2 -2 0
2 0 0
2 2 1
2 4 1
2 6 1
2 -6 0
2 -4 0
2 -2 0
2 0 1
2 2 1
2 4 1
2 6 1
2 -6 0
2 -4 0
2 -2 0
2 0 1
2 2 1
2 4 1
2 6 1
2 -6 0
2 -4 0
2 -2 0
2 0 0
2 2 1
2 4 1
2 6 1
2 -6 0
2 -4 0
2 -2 0
2 0 0
2 2 1
2 4 1
2 6 1
2 -6 0
2 -4 1
2 -2 1
2 0 1
2 2 1
2 4 1
2 6 1
2 -6 0
2 -4 0
2 -2 0
2 0 0
2 2 1
2 4 1
2 6 1
2 -6 0
2 -4 0
2 -2 0
2 0 1
2 2 1
2 4 0
2 6 1
2 -6 0
2 -4 0
2 -2 0
2 0 1
2 2 1
2 4 1
2 6 1
2 -6 1
2 -4 0
2 -2 0
2 0 0
2 2 1
2 4 1
2 6 1
2 -6 0
2 -4 0
2 -2 0
2 0 1
2 2 1
2 4 1
2 6 1
2 -6 0
2 -4 1
2 -2 0
2 0 1
2 2 1
2 4 1
2 6 1
2 -6 0
2 -4 0
2 -2 0
2 0 1
2 2 1
2 4 1
2 6 1
2 -6 0
2 -4 0
2 -2 0
2 0 0
2 2 1
2 4 1
2 6 1
2 -6 0
2 -4 0
2 -2 0
2 0 1
2 2 0
2 4 1
2 6 1
2 -6 0
2 -4 0
2 -2 0
2 0 1
2 2 1
2 4 1
2 6 1
2 -6 0
2 -4 0
2 -2 0
2 0 1
2 2 1
2 4 1
2 6 1
2 -6 0
2 -4 0
2 -2 0
2 0 1
2 2 1
2 4 1
2 6 1
2 -6 0
2 -4 0
2 -2 0
2 0 1
2 2 1
2 4 1
2 6 1
2 -6 0
2 -4 0
2 -2 0
2 0 0
2 2 1
2 4 1
2 6 0
3 -6 0
3 -4 0
3 -2 0
3 0 0
3 2 1
3 4 1
3 6 1
3 -6 0
3 -4 0
3 -2 0
3 0 0
3 2 1
3 4 1
3 6 1
3 -6 0
3 -4 0
3 -2 0
3 0 1
3 2 1
3 4 1
3 6 1
3 -6 0
3 -4 0
3 -2 0
3 0 1
3 2 1
3 4 1
3 6 1
3 -6 0
3 -4 0
3 -2 0
3 0 1
3 2 1
3 4 1
3 6 1
3 -6 0
3 -4 0
3 -2 0
3 0 0
3 2 1
3 4 1
3 6 1
3 -6 0
3 -4 0
3 -2 0
3 0 0
3 2 0
3 4 1
3 6 1
3 -6 0
3 -4 0
3 -2 0
3 0 0
3 2 1
3 4 1
3 6 1
3 -6 0
3 -4 0
3 -2 0
3 0 0
3 2 1
3 4 1
3 6 1
3 -6 0
3 -4 0
3 -2 0
3 0 0
3 2 0
3 4 1
3 6 1
3 -6 0
3 -4 0
